gig_id,date,venue,venue_mbid,city,country,festival,event_mbid,status,notes
g170528,2017-05-28,Rafinad Strip Club,88a8bcd3-d18e-43d9-9bd2-7694e4b29826,Lviv,Ukraine,,7bbe3c3c-0bf9-4205-923c-ccaa0f7be620,,
g170530,2017-05-30,Shkaf Club,,Odessa,Ukraine,,,,
g170601,2017-06-01,Art-Area DK,,Kharkiv,Ukraine,,,,
g170602,2017-06-02,Aglomerat,d2d4cfd3-dd5c-4ffe-9bc4-715f0376bfb3,Moscow,Russia,,4f09f36d-d5bd-486a-b6bd-1c5aa18fccf1,,
g170610,2017-06-10,Berthold Center,,Saint-Petersburg,Russia,Berthold Music Fest,,,
g170708,2017-07-08,Pravda,,Moscow,Russia,Bol' 2017,,,
g170810,2017-08-10,DOT,bc1195e9-df38-4780-8ce9-9e2659fd20d6,Saint-Petersburg,Russia,,,,
g170831,2017-08-31,A2,fd52cd06-8711-4816-be8a-5f0bfdf29278,Saint-Petersburg,Russia,,f50c7f8a-90b8-4b53-bf72-1edfd4be2d1d,,
g170902,2017-09-02,Closer,,Kiev,Ukraine,,,,
g170903,2017-09-03,Stara Fortetsya,,Kamianets-Podilskyi,Ukraine,Respublica 2017,,,
g170905,2017-09-05,AZ Fredra.61,,Lviv,Ukraine,,,,
g170907,2017-09-07,BARdzo bardzo,e4f1f4c7-fadf-4aba-80e9-bc74c2a3ce35,Warsaw,Poland,,,,
g170909,2017-09-09,Robot,,Budapest,Hungary,,,,
g170916,2017-09-16,Bastion Pregel,,Kaliningrad,Russia,,,,
g170917,2017-09-17,Klubs Depo,,Riga,Latvia,,,,
g171022,2017-10-22,Club Gorod,,Moscow,Russia,,,,
g171112,2017-11-12,Erarta Stage,a5c17802-82d3-4074-a7ed-e432ef11313f,Saint-Petersburg,Russia,,,,
g171215,2017-12-15,Kantine am Berghain,df8f94bf-2773-4a13-87f0-d067c389cab3,Berlin,Germany,,,,
g180119,2018-01-19,NZB Bar,,Voronezh,Russia,,,,
g180120,2018-01-20,Stechkin Bar,,Tula,Russia,,,,
g180121,2018-01-21,Srebrianaya Fabrika,,Kursk,Russia,,,,
g180127,2018-01-27,Opera Concert Club,492b993b-39ea-4c24-af83-e055ff4dd582,Saint-Petersburg,Russia,,,,
g180201,2018-02-01,Gala Hala,,Ljubljana,Slovenia,MENT 2018,,,
