status,title,url,uploader,gig_id,content_type,content,notes
,SHORTPARIS - Сын,https://www.youtube.com/watch?v=YfnDoH4cL9Q,Денис Морозов,g180127,Song,Сын,
,SHORTPARIS - St.Trope,https://www.youtube.com/watch?v=yKhgHB-psQk,Денис Морозов,g180127,Song,St. Tropez,
,SHORTPARIS - P/W,https://www.youtube.com/watch?v=-QqFrk32tC4,Денис Морозов,g180127,Song,P/W,
,"SHORTPARIS - Раз,два,три",https://www.youtube.com/watch?v=TgUam1PsQf8,Денис Морозов,g180127,Song,"Раз, два, три",
,SHORTPARIS - Что-то особое во мне,https://www.youtube.com/watch?v=Qkiazx9mWM4,Денис Морозов,g180127,Song,Что-то особое во мне,
,SHORTPARIS - Любовь,https://www.youtube.com/watch?v=zNN1_6CKPRY,Денис Морозов,g180127,Song,Любовь,
,SHORTPARIS - Ma Sœur,https://www.youtube.com/watch?v=n3m_LRvZc0M,Денис Морозов,g180127,Song,Ma Soeur,
,"SHORTPARIS - 27.01.2018@Opera concert club, Петербург",https://www.youtube.com/watch?v=XUBz9GW3Df4,MITIN1965,g180127,Full Set,,
,Shortparis - Что-то особое во мне @ MENT 2018 (1. 2. 2018),https://www.youtube.com/watch?v=TF1biK3UOSY,Frances577,g180201,Song,Что-то особое во мне,
,SHORTPARIS на открытии КПД,https://www.youtube.com/watch?v=MAMQHaR5-ns,Денис Морозов,g180303,Full Set,,
,SHORTPARIS - Стыд,https://www.youtube.com/watch?v=L_74gNRzq7k,Денис Морозов,g180303,Song,Стыд,
,SHORTPARIS - Стыд | SKLAD,https://www.youtube.com/watch?v=2sTG2FXD4kU,JSR OZ,g180325,Song,Стыд,no dancebreak
,SHORTPARIS - Раз два три | SKLAD,https://www.youtube.com/watch?v=wxuylOQo-nQ,JSR OZ,g180325,Song,Раз два три,
,Shortparis. Spring Break Poznan. Что-то особое во мне.,https://www.youtube.com/watch?v=0eYepeThvMc,Natasha Padabed,g180420,Song,Что-то особое во мне,
