gig_id,url,type,archive_service
g190427,https://www.fullmoonzine.cz/novinky/experimentatori-shortparis-v-lese,Press Release,
g190428,https://www.donaufestival.at/en/programme/programm-2019/34-shortparis,Festival Artist Page,
g190428,https://www.donaufestival.at/de/programm/timetable-2019,Festival Timetable,
g190501,https://www.facebook.com/events/merleyn/shortparis-merleyn-nijmegen/232549597626709/,Facebook Event,
g190503,https://www.facebook.com/events/2094992807233756/,Facebook Event,
g190504,https://dice.fm/event/lq7ql-shortparis-4th-may-moth-club-london-tickets,Tickets,
g190505,https://www.soundcity.uk.com/profile/shortparis,Festival Artist Page,archive.is
g190507,https://afterdark.co/events/manchester/yes/shortparis-live-at-yes,Promoter,
g190508,http://indiehorse.com/index2.php?view=album&gig=930,Photo Gallery,
g190508,https://www.thechameleonarts.com/events/shortparis-russia-i-am-lono-baby-tap,Venue Event Page,
g190509,https://greatescapefestival.com/artists/shortparis/,Festival Artist Page,
g190513,https://www.facebook.com/events/559775841208046/,Facebook Event,
g190515,https://www.facebook.com/events/372476110252006/,Facebook Event,
g190516,https://www.facebook.com/events/2127946423966314/,Facebook Event,
g190516,https://scontent.fyhu1-1.fna.fbcdn.net/v/t1.0-9/52599161_2034755349973292_740063589980700672_n.jpg?_nc_cat=105&_nc_ht=scontent.fyhu1-1.fna&oh=59e0efdaf279e94c005c18a752ff3f04&oe=5D50CE55,Flyer,
g190517,https://www.facebook.com/events/390600711735703/,Facebook Event,
g190517,http://www.tusovka.fi/wp/wp-content/uploads/Tusovka_20_2019_v1-724x1024.jpg,Flyer,
g190517,https://vk.com/event179676661,VK Event,
g190523,https://vk.com/shortparis_spb,VK Event,
g190526,https://vk.com/shortparis_msk,VK Event,
g190602,https://vk.com/shortparisaglomerat,VK Event,
g190607,https://www.facebook.com/events/2187069641510750/,Facebook Event,
g190607,https://scontent.fymq3-1.fna.fbcdn.net/v/t1.0-9/58633315_2272851699439378_5107268241579835392_n.jpg?_nc_cat=110&_nc_ht=scontent.fymq3-1.fna&oh=56ba56cb5ead2da3488beee9d22b8eed&oe=5D6E60BD,Flyer,
g190607,http://kiraigigs.com/2019/06/11/shortparis-circus/,Photo Gallery,
g190607,https://concert.ua/ru/event/shortparis,Venue Event Page,
g190609,https://concert.ua/ru/event/shortparis-kharkov,Venue Event Page,Wayback
g190615,https://weekendspb.esquire.ru/3/,Festival Lineup,
g190615,https://www.the-village.ru/village/weekend/wknd-news/351623-esquire-weekend-spb,Press Release,
g190621,https://ocoolovka.ru/artists/,Festival Lineup,
g190621,https://ocoolovka.ru/media/cache/59/ef/59ef3c13a875b3a554041f8d427c83ee.png,Flyer,
g190621,https://vk.com/okulovkafest,VK Event,
g190623,http://vrox.org/participants/shortparis/,Festival Artist Page,Wayback
g190623,http://vrox.org/program/,Festival Timetable,Wayback
g190628,https://uralmusicnight.ru/en/artists,Festival Lineup,
g190628,https://vk.com/uralmusicnight,VK Event,
g190629,https://www.facebook.com/events/215354249344605/,Facebook Event,
g190629,https://mintmusic.ru/lineup/participants/2019/shortparis/,Festival Artist Page,
g190629,https://mintmusic.ru/lineup/schedule/,Festival Timetable,
g190629,https://scontent.fyhu1-1.fna.fbcdn.net/v/t1.0-9/61374256_3357813054244538_7073024118114746368_o.jpg?_nc_cat=111&_nc_ht=scontent.fyhu1-1.fna&oh=be4f1c0e10a0d0f5f886b404afc7c5e0&oe=5D867F21,Flyer,
g190706,https://bestfest.ru/artisty/shortparis/,Festival Artist Page,Wayback
g190706,https://lastfm-img2.akamaized.net/i/u/ar0/e4d6a3db911769f542fa7987811caa2f,Flyer,
g190707,https://lastfm-img2.akamaized.net/i/u/ar0/5723701b6916b3d3cf8975a283f87b79,Flyer,
g190707,https://vk.com/bolbfest,VK Event,
g190710,https://thevanderlust.com/ru/city/moscow/mr-vanderlust/news/4415.html,Press Release,Wayback
g190711,https://web.archive.org/web/20191020105918/http://www.devilstone.net:80/muzika/atlikejai/shortparis,Festival Artist Page,Wayback
g190711,http://www.devilstone.net/assets/Uploads/Blocks/day-by-day-right-2019.jpg,Flyer,
g190713,https://www.pohodafestival.sk/en/artist/shortparis,Festival Artist Page,
g190713,https://www.pohodafestival.sk/en/lineup,Festival Lineup,
g190717,http://www.schaubudensommer.de/en/programm-2019/short-paris-russland/,Festival Artist Page,
g190718,http://www.schaubudensommer.de/en/programm-2019/short-paris-russland/,Festival Artist Page,
g190727,https://www.facebook.com/events/597987927348566/,Facebook Event,
g190727,https://pp.userapi.com/c853520/v853520190/2869c/S3XhtjS8-Cc.jpg,Flyer,
g190728,https://www.the-village.ru/village/weekend/weekend-guide/357301-forma,Press Release,
g190728,https://vk.com/formafest,VK Event,
g190804,https://lastfm-img2.akamaized.net/i/u/ar0/ffcaf30af1dfc2e70162c26c9fe2001a,Flyer,
g190804,https://vk.com/taman_2019,VK Event,
g190809,https://iz.ru/910242/2019-08-14/kitaiskii-letchik-dzhao-da-otmetil-20-letie-masshtabnym-trekhdnevnym-festivalem,Press Release,
